% Model:              cpw-sheet-shift-5bma.mph
% Version:            COMSOL 6.3.0.290
% Date:               Sep 24 2026, 10:59
% Dimension:          3
% Nodes:              610
% Expressions:        1
% Description:        Electric field norm
% Length unit:        µm
% x                       y                        z                        emw.normE (V/m) @ freq=7.5
900                       -60.6872858628661        1                        13230.270521390534
751.604841548784          -237.33291256871465      1                        418.95365125501155
752.1883019167316         -238.3663377915944       1                        330.1461492228725
900.0000000000001         -313.7365570833475       1                        131.83552721033033
458.5105087309561         -4.865755419154723       0.9999999999999999       1369013.0406326512
507.99824552831143        -4.865755419154723       0.9999999999999999       1368448.944088999
507.99824552831336        -10.56005709088271       0.9999999999999999       1102395.7471911255
507.9982455283149         4.624747367058589        0.9999999999999999       1347100.5943362496
458.5105087309595         4.624747367058589        0.9999999999999999       1402747.050655566
458.5105087309561         10.319049038786575       0.9999999999999999       1157636.884300453
507.99824552831143        10.319049038786575       0.9999999999999999       1089250.3051671844
559.8937387022156         -11.304506663761389      1                        1102894.3384638687
509.9669326136294         -11.304506663761389      1                        808552.3332371444
509.9669326136274         -5.559683526295381       1                        1339717.5560845595
559.8937387022135         -5.559683526295381       1                        1119373.0991793075
509.96693261363095        4.015021702814631        1                        813810.7256111801
559.8937387022171         4.015021702814631        1                        656080.6549649709
458.5105087309582         -10.56005709088271       0.9999999999999999       770817.420523895
543.4104531682347         -74.24046881347329       1                        19530.179840659763
545.0624206086305         -74.43563615133617       1                        18601.262002373085
493.6589457056212         -75.09736856527583       1                        31581.222008870154
491.8336752899074         -73.79190800741681       0.9999999999999999       60841.3946451746
455.95334577600414        4.775980586855822        0.9999999999999999       1346861.6855938209
405.5586558158366         4.775980586855822        0.9999999999999999       1314996.4910287634
405.5586558158333         -4.888452996675633       0.9999999999999999       1311356.8162028797
455.9533457760007         -4.888452996675633       0.9999999999999999       1311527.9915312435
405.5586558158333         10.574640736974695       0.9999999999999999       1059208.7290757876
455.9533457760007         10.574640736974695       0.9999999999999999       814303.0528393531
455.95334577600283        -10.687113146794504      0.9999999999999999       876197.5862081718
405.55865581583527        -10.687113146794504      0.9999999999999999       915814.3824562863
454.51215919740423        11.561177406885745       1                        171682.90739817062
404.3656300738555         11.561177406885745       1                        295372.6672951941
544.6166429816261         -76.35107380582737       0.9999999999999999       14047.356979489045
592.8126219090143         -53.709459504201874      0.9999999999999999       16968.1912809862
612.6148830723901         -11.910044437557097      0.9999999999999999       188995.19332141528
642.7854187610458         -62.414081121110975      0.9999999999999999       16729.384892647755
603.8509304336845         -139.49937162870145      0.9999999999999999       1824.8704685390169
713.3858356995062         -104.26320612080168      0.9999999999999999       4600.516063860338
560.6715256747956         -4.8461511384231155      1                        647103.8345025755
560.6715256747956         10.786523032070527       1                        939549.3622333356
560.6715256747993         4.924270218135412        1                        1057752.6355736263
403.6545463733326         10.426873600078487       1                        1007515.5215824748
403.65454637333585        4.717343679247238        1                        1376502.5437355775
403.65454637333454        -10.508069442969425      1                        928333.6914292449
403.6545463733326         -4.798539522138176       1                        1398609.5852750863
354.0344647114176         -4.798539522138176       1                        1349243.2491201407
455.8764361285047         -13.07888797532251       1.0000000000000002       105178.99850670676
438.2975746113018         -79.07221956103405       1.0000000000000002       7203.2892114881315
489.74290397861967        -77.34167171707253       1.0000000000000002       10611.64301820238
405.58185070074336        -13.07888797532251       1.0000000000000002       172330.806242814
354.0344647114197         -10.508069442969425      1                        762666.3974790213
351.57763081637466        -10.684971913218218      1                        881294.8483699796
301.00758150646243        -4.866134056398352       1                        1240208.9114251
301.0075815064645         -10.684971913218218      1                        896049.6112339833
351.57763081637256        -4.866134056398352       1                        1275157.4128621754
351.577630816376          4.83192903830142         1                        1253557.9567277704
354.034464711421          4.717343679247238        1                        1339766.6582634472
412.1565080879082         59.645390301362085       1                        13646.959954833568
301.00758150646567        4.83192903830142         1                        1119697.0538873482
354.0344647114176         10.426873600078487       1                        933418.2088989868
351.57763081637256        10.650766895121285       1                        923653.0014765249
354.2191009503066         11.561177406885745       1                        262153.9529329825
507.72600320220494        107.12601321034815       1                        14225.983156866441
383.34708291194846        -72.87797543454091       1                        50139.67455852257
384.9983405235776         -76.296610718858         1.0000000000000002       22920.21723634202
351.99993520131346        11.782361576652265       1                        191316.63854701305
410.5308923494397         60.359181691223924       1                        15000.461114337593
603.5911608315606         61.6369892914059         1                        11056.662017687548
507.39411302674824        111.00000000000016       1                        3625.7053779219677
